variant,library_family,corner,size_bytes,relative_path,selected_target
sky130A,,gpiov2_pad_ss_ff_n40C_1v35_5v50,289946,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ss_ff_n40C_1v35_5v50.lib,no
sky130A,,gpiov2_pad_ss_ff_n40C_1v60_5v50,289637,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ss_ff_n40C_1v60_5v50.lib,no
sky130A,,gpiov2_pad_ss_ss_100C_1v40_1v65,296347,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ss_ss_100C_1v40_1v65.lib,no
sky130A,,gpiov2_pad_ss_ss_100C_1v60_1v65,295905,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ss_ss_100C_1v60_1v65.lib,no
sky130A,,gpiov2_pad_ss_ss_100C_1v60_3v00,300013,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ss_ss_100C_1v60_3v00.lib,no
sky130A,,gpiov2_pad_ss_ss_n40C_1v35_1v65,295245,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ss_ss_n40C_1v35_1v65.lib,no
sky130A,,gpiov2_pad_ss_ss_n40C_1v40_1v65,296597,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ss_ss_n40C_1v40_1v65.lib,no
sky130A,,gpiov2_pad_ss_ss_n40C_1v60_1v65,661036,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ss_ss_n40C_1v60_1v65.lib,no
sky130A,,gpiov2_pad_ss_ss_n40C_1v60_1v65_nointpwr,600227,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ss_ss_n40C_1v60_1v65_nointpwr.lib,no
sky130A,,gpiov2_pad_tt_tt_025C_1v80_3v30,288391,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_tt_tt_025C_1v80_3v30.lib,no
sky130A,,gpiov2_pad_wrapped_ff_ff_100C_1v95_5v50,289609,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ff_ff_100C_1v95_5v50.lib,no
sky130A,,gpiov2_pad_wrapped_ff_ff_n40C_1v95_5v50,627593,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ff_ff_n40C_1v95_5v50.lib,no
sky130A,,gpiov2_pad_wrapped_ff_ff_n40C_1v95_5v50_nointpwr,569789,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ff_ff_n40C_1v95_5v50_nointpwr.lib,no
sky130A,,gpiov2_pad_wrapped_ff_ss_100C_1v65_1v65,296096,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ff_ss_100C_1v65_1v65.lib,no
sky130A,,gpiov2_pad_wrapped_ff_ss_100C_1v95_1v65,299814,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ff_ss_100C_1v95_1v65.lib,no
sky130A,,gpiov2_pad_wrapped_ff_ss_100C_1v95_1v95,295149,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ff_ss_100C_1v95_1v95.lib,no
sky130A,,gpiov2_pad_wrapped_ff_ss_n40C_1v65_1v65,296126,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ff_ss_n40C_1v65_1v65.lib,no
sky130A,,gpiov2_pad_wrapped_ff_ss_n40C_1v95_1v65,299975,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ff_ss_n40C_1v95_1v65.lib,no
sky130A,,gpiov2_pad_wrapped_ff_ss_n40C_1v95_1v95,295117,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ff_ss_n40C_1v95_1v95.lib,no
sky130A,,gpiov2_pad_wrapped_ss_ff_100C_1v40_5v50,290380,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ss_ff_100C_1v40_5v50.lib,no
sky130A,,gpiov2_pad_wrapped_ss_ff_100C_1v60_5v50,290085,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ss_ff_100C_1v60_5v50.lib,no
sky130A,,gpiov2_pad_wrapped_ss_ff_n40C_1v35_5v50,289978,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ss_ff_n40C_1v35_5v50.lib,no
sky130A,,gpiov2_pad_wrapped_ss_ff_n40C_1v60_5v50,289669,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ss_ff_n40C_1v60_5v50.lib,no
sky130A,,gpiov2_pad_wrapped_ss_ss_100C_1v40_1v65,296379,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ss_ss_100C_1v40_1v65.lib,no
sky130A,,gpiov2_pad_wrapped_ss_ss_100C_1v60_1v65,295937,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ss_ss_100C_1v60_1v65.lib,no
sky130A,,gpiov2_pad_wrapped_ss_ss_100C_1v60_3v00,300045,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ss_ss_100C_1v60_3v00.lib,no
sky130A,,gpiov2_pad_wrapped_ss_ss_n40C_1v35_1v65,295277,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ss_ss_n40C_1v35_1v65.lib,no
sky130A,,gpiov2_pad_wrapped_ss_ss_n40C_1v40_1v65,296629,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ss_ss_n40C_1v40_1v65.lib,no
sky130A,,gpiov2_pad_wrapped_ss_ss_n40C_1v60_1v65,661068,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ss_ss_n40C_1v60_1v65.lib,no
sky130A,,gpiov2_pad_wrapped_ss_ss_n40C_1v60_1v65_nointpwr,600259,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_ss_ss_n40C_1v60_1v65_nointpwr.lib,no
sky130A,,gpiov2_pad_wrapped_tt_tt_025C_1v80_3v30,288423,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_wrapped_tt_tt_025C_1v80_3v30.lib,no
sky130A,,vccd_lvc_clamped3_pad_ff_100C_1v95_5v50_1v65,4571,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ff_100C_1v95_5v50_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ff_100C_1v95_5v50_5v50,4570,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ff_100C_1v95_5v50_5v50.lib,no
sky130A,,vccd_lvc_clamped3_pad_ff_n40C_1v95_5v50_1v65,4569,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ff_n40C_1v95_5v50_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ff_n40C_1v95_5v50_5v50,4569,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ff_n40C_1v95_5v50_5v50.lib,no
sky130A,,vccd_lvc_clamped3_pad_ff_ss_100C_1v65_1v65_1v65,4577,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ff_ss_100C_1v65_1v65_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ff_ss_100C_1v95_1v95_1v65,4577,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ff_ss_100C_1v95_1v95_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ff_ss_100C_1v95_1v95_1v95,4577,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ff_ss_100C_1v95_1v95_1v95.lib,no
sky130A,,vccd_lvc_clamped3_pad_ff_ss_100C_1v95_5v50_1v65,4577,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ff_ss_100C_1v95_5v50_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ff_ss_n40C_1v65_1v65_1v65,4576,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ff_ss_n40C_1v65_1v65_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ff_ss_n40C_1v95_1v95_1v65,4576,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ff_ss_n40C_1v95_1v95_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ff_ss_n40C_1v95_1v95_1v95,4576,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ff_ss_n40C_1v95_1v95_1v95.lib,no
sky130A,,vccd_lvc_clamped3_pad_ff_ss_n40C_1v95_5v50_1v65,4576,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ff_ss_n40C_1v95_5v50_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ss_100C_1v40_1v65_1v65,4570,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ss_100C_1v40_1v65_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ss_100C_1v60_1v65_1v65,4570,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ss_100C_1v60_1v65_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ss_100C_1v60_3v00_3v00,4570,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ss_100C_1v60_3v00_3v00.lib,no
sky130A,,vccd_lvc_clamped3_pad_ss_100C_1v60_5v50_1v65,4570,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ss_100C_1v60_5v50_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ss_ff_100C_1v40_5v50_5v50,4575,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ss_ff_100C_1v40_5v50_5v50.lib,no
sky130A,,vccd_lvc_clamped3_pad_ss_ff_100C_1v60_5v50_1v65,4578,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ss_ff_100C_1v60_5v50_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ss_ff_100C_1v60_5v50_5v50,4578,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ss_ff_100C_1v60_5v50_5v50.lib,no
sky130A,,vccd_lvc_clamped3_pad_ss_ff_n40C_1v35_5v50_5v50,4575,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ss_ff_n40C_1v35_5v50_5v50.lib,no
sky130A,,vccd_lvc_clamped3_pad_ss_ff_n40C_1v60_5v50_1v65,4576,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ss_ff_n40C_1v60_5v50_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ss_ff_n40C_1v60_5v50_5v50,4576,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ss_ff_n40C_1v60_5v50_5v50.lib,no
sky130A,,vccd_lvc_clamped3_pad_ss_n40C_1v35_1v65_1v65,4569,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ss_n40C_1v35_1v65_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ss_n40C_1v40_1v65_1v65,4569,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ss_n40C_1v40_1v65_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ss_n40C_1v60_1v65_1v65,4569,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ss_n40C_1v60_1v65_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_ss_n40C_1v60_5v50_1v65,4569,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_ss_n40C_1v60_5v50_1v65.lib,no
sky130A,,vccd_lvc_clamped3_pad_tt_025C_1v80_3v30_3v30,4569,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped3_pad_tt_025C_1v80_3v30_3v30.lib,no
sky130A,,vccd_lvc_clamped_pad_ff_100C_1v95_5v50_1v65,4344,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ff_100C_1v95_5v50_1v65.lib,no
sky130A,,vccd_lvc_clamped_pad_ff_100C_1v95_5v50_5v50,4343,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ff_100C_1v95_5v50_5v50.lib,no
sky130A,,vccd_lvc_clamped_pad_ff_n40C_1v95_5v50_1v65,4342,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ff_n40C_1v95_5v50_1v65.lib,no
sky130A,,vccd_lvc_clamped_pad_ff_n40C_1v95_5v50_5v50,4342,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ff_n40C_1v95_5v50_5v50.lib,no
sky130A,,vccd_lvc_clamped_pad_ff_ss_100C_1v65_1v65_1v65,4350,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ff_ss_100C_1v65_1v65_1v65.lib,no
sky130A,,vccd_lvc_clamped_pad_ff_ss_100C_1v95_1v95_1v65,4350,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ff_ss_100C_1v95_1v95_1v65.lib,no
sky130A,,vccd_lvc_clamped_pad_ff_ss_100C_1v95_1v95_1v95,4350,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ff_ss_100C_1v95_1v95_1v95.lib,no
sky130A,,vccd_lvc_clamped_pad_ff_ss_100C_1v95_5v50_1v65,4350,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ff_ss_100C_1v95_5v50_1v65.lib,no
sky130A,,vccd_lvc_clamped_pad_ff_ss_n40C_1v65_1v65_1v65,4349,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ff_ss_n40C_1v65_1v65_1v65.lib,no
sky130A,,vccd_lvc_clamped_pad_ff_ss_n40C_1v95_1v95_1v65,4349,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ff_ss_n40C_1v95_1v95_1v65.lib,no
sky130A,,vccd_lvc_clamped_pad_ff_ss_n40C_1v95_1v95_1v95,4349,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ff_ss_n40C_1v95_1v95_1v95.lib,no
sky130A,,vccd_lvc_clamped_pad_ff_ss_n40C_1v95_5v50_1v65,4349,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ff_ss_n40C_1v95_5v50_1v65.lib,no
sky130A,,vccd_lvc_clamped_pad_ss_100C_1v40_1v65_1v65,4343,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ss_100C_1v40_1v65_1v65.lib,no
sky130A,,vccd_lvc_clamped_pad_ss_100C_1v60_1v65_1v65,4343,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ss_100C_1v60_1v65_1v65.lib,no
sky130A,,vccd_lvc_clamped_pad_ss_100C_1v60_3v00_3v00,4343,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ss_100C_1v60_3v00_3v00.lib,no
sky130A,,vccd_lvc_clamped_pad_ss_100C_1v60_5v50_1v65,4343,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ss_100C_1v60_5v50_1v65.lib,no
sky130A,,vccd_lvc_clamped_pad_ss_ff_100C_1v40_5v50_5v50,4348,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ss_ff_100C_1v40_5v50_5v50.lib,no
sky130A,,vccd_lvc_clamped_pad_ss_ff_100C_1v60_5v50_1v65,4351,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ss_ff_100C_1v60_5v50_1v65.lib,no
sky130A,,vccd_lvc_clamped_pad_ss_ff_100C_1v60_5v50_5v50,4351,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ss_ff_100C_1v60_5v50_5v50.lib,no
sky130A,,vccd_lvc_clamped_pad_ss_ff_n40C_1v35_5v50_5v50,4348,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ss_ff_n40C_1v35_5v50_5v50.lib,no
sky130A,,vccd_lvc_clamped_pad_ss_ff_n40C_1v60_5v50_1v65,4349,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ss_ff_n40C_1v60_5v50_1v65.lib,no
sky130A,,vccd_lvc_clamped_pad_ss_ff_n40C_1v60_5v50_5v50,4349,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ss_ff_n40C_1v60_5v50_5v50.lib,no
sky130A,,vccd_lvc_clamped_pad_ss_n40C_1v35_1v65_1v65,4342,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__vccd_lvc_clamped_pad_ss_n40C_1v35_1v65_1v65.lib,no
